
 ПРОТОКОЛ №1            27-05-2018 08:35:48
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:11:2	 5	     350    	   -370	          1
   2	  00:00:11:8	 5	     180    	   -240	          1
   3	  00:00:12:3	 5	     475    	   -210	          1
   4	  00:00:12:9	 5	     550    	   -525	          1
   5	  00:00:13:4	 5	     110    	   -535	          1
   6	  00:00:14:0	 5	     255    	   -335	          1
   7	  00:00:14:4	 5	     445    	   -500	          1
   8	  00:00:15:0	 5	     310    	   -285	          1
   9	  00:00:15:4	 5	     545    	   -280	          1
   10	  00:00:15:8	 5	     375    	   -430	          1
   11	  00:00:16:4	 5	     215    	   -320	          1
   12	  00:00:16:8	 5	     295    	   -245	          1
   13	  00:00:17:3	 5	     365    	   -370	          1
   14	  00:00:17:7	 5	     480    	   -215	          1
   15	  00:00:18:1	 5	     300    	   -345	          1
   16	  00:00:18:5	 5	     290    	   -250	          1
   17	  00:00:18:9	 5	     350    	   -430	          1
   18	  00:00:19:3	 5	     240    	   -340	          1
   19	  00:00:19:7	 5	     400    	   -485	          1
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
