
 ПРОТОКОЛ №1            07-05-2018 08:58:09
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:09:7	 1	     -300    	   110	          1
   2	  00:00:09:8	 7	     -55    	   -10	          1
   3	  00:00:10:1	 7	     -45    	   -80	          1
   4	  00:00:10:3	 1	     -155    	   25	          1
   5	  00:00:10:5	 1	     -215    	   135	          1
   6	  00:00:10:7	 5	     160    	   -120	          1
   7	  00:00:10:9	 7	     -65    	   -370	          1
   8	  00:00:11:1	 7	     -235    	   -225	          1
   9	  00:00:11:4	 5	     140    	   -55	          1
   10	  00:00:11:6	 5	     260    	   -470	          1
   11	  00:00:11:8	 7	     -160    	   -535	          1
   12	  00:00:12:0	 7	     -220    	   -130	          1
   13	  00:00:12:7	 3	     275    	   390	          1
   14	  00:00:13:2	 5	     455    	   -380	          1
   15	  00:00:13:6	 7	     -320    	   -380	          1
   16	  00:00:13:9	 1	     -410    	   240	          1
   17	  00:00:14:2	 1	     -55    	   350	          1
   18	  00:00:14:4	 5	     55    	   -40	          1
   19	  00:00:14:6	 7	     -330    	   -330	          1
   20	  00:00:14:9	 7	     -370    	   -240	          1
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
