
 ПРОТОКОЛ №2            26-05-2018 15:48:00
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:05:5	 1	     -575    	   475	          1
   2	  00:00:05:7	 1	     -230    	   510	          1
   3	  00:00:05:9	 1	     -210    	   290	          1
   4	  00:00:06:0	 1	     -580    	   220	          1
   5	  00:00:06:3	 1	     -625    	   445	          1
   6	  00:00:06:4	 1	     -370    	   445	          1
   7	  00:00:06:7	 1	     -305    	   165	          1
   8	  00:00:06:9	 1	     -510    	   315	          1
   9	  00:00:07:0	 1	     -535    	   390	          1
   10	  00:00:07:2	 1	     -295    	   370	          1
   11	  00:00:07:4	 1	     -235    	   250	          1
   12	  00:00:07:5	 1	     -345    	   190	          1
   13	  00:00:07:8	 1	     -460    	   260	          1
   14	  00:00:08:0	 1	     -185    	   190	          1
   15	  00:00:08:2	 1	     -110    	   150	          1
   16	  00:00:08:3	 1	     -430    	   230	          1
   17	  00:00:08:5	 1	     -395    	   420	          1
   18	  00:00:08:7	 1	     -145    	   235	          1
   19	  00:00:09:0	 1	     -360    	   180	          1
   20	  00:00:09:2	 1	     -480    	   375	          1
   21	  00:00:09:4	 1	     -210    	   430	          1
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
